,Education_level,Full_time_job,Living area,Age,Gender,Children,Age_group,Question_basicincome_awareness,Question_basicincome_vote,Question_basicincome_effect,Question_basicincome_argumentsfor,Question_basicincome_argumentsagainst,Job_title,Country,Country_code
2381,low,no,urban,44 years old,female,YES,40_65,I have heard just a little about it,I would not vote,‰Û_ work as a freelancer,None of the above,None of the above,,Spain,ES
2382,high,yes,urban,52 years old,male,yES,40_65,I understand it fully,I would vote against it,‰Û_ work less,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state,database management system specialist dbms specialist,Spain,ES
2383,high,no,urban,43 years old,female,YES,40_65,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state,,Spain,ES
2384,high,yes,Non-Rural,34 years old,FeMale,yES,26_39,I know something about it,I would vote for it,‰Û_ do more volunteering work,It creates more equality of opportunity | It encourages financial independence and self-responsibility,It is impossible to finance,automatic data processing planner,Spain,ES
2385,medium,no,city,36 years old,female,YES,26_39,I have never heard of it,I would probably vote against it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility",It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,,Spain,ES
2386,medium,no,city,1997,male,nO,14_25,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward,,Spain,ES
2387,medium,yes,urban,41 years old,FeMale,yES,40_65,I know something about it,I would probably vote against it,‰Û_ work less,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state,clinical data associate,Spain,ES
2388,medium,no,urban,49 years old,FeMale,YES,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity,It might encourage people to stop working,,Spain,ES
2389,medium,no,urban,61 years old,male,nO,40_65,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working,,Spain,ES
2390,,yes,urban,39 years old,male,YES,26_39,I know something about it,I would probably vote against it,‰Û_ do more volunteering work,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,database coordinator,Spain,ES
2391,high,yes,city,42 years old,male,yES,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",None of the above,database management system specialist dbms specialist,Spain,ES
2392,high,yes,urban,42 years old,male,NO,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward,database architect,Spain,ES
2393,medium,no,urban,45 years old,male,yES,40_65,I know something about it,I would probably vote for it,‰Û_ work less,It increases appreciation for household work and volunteering,It might encourage people to stop working,,Spain,ES
2394,high,yes,urban,37 years old,male,nO,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,database marketing analyst,Spain,ES
2395,medium,no,rural,47 years old,female,YES,40_65,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It increases dependence on the state | It is impossible to finance,,Spain,ES
2396,,yes,Country,40 years old,male,YES,40_65,I have heard just a little about it,I would not vote,‰Û_ work as a freelancer,None of the above,None of the above,database manager,Spain,ES
2397,high,no,urban,40 years old,female,yES,40_65,I know something about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,,Spain,ES
2398,high,yes,urban,59 years old,female,nO,40_65,I know something about it,I would probably vote against it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward,automatic data processing planner adp planner,Spain,ES
2399,high,yes,rural,41 years old,male,YES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working,head of information systems and data processing,Spain,ES
2400,high,yes,Non-Rural,48 years old,FeMale,YES,40_65,I have never heard of it,I would vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state | It is impossible to finance | It is against the principle of linking merit and reward,data security analyst,Spain,ES
2401,high,yes,urban,32 years old,female,yES,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",None of the above,database engineer,Spain,ES
2402,high,yes,Non-Rural,43 years old,male,yES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state,data officer,Spain,ES
2403,high,no,rural,35 years old,FeMale,NO,26_39,I understand it fully,I would vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit,,Spain,ES
2404,medium,no,urban,55 years old,female,nO,40_65,I understand it fully,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It increases dependence on the state,,Spain,ES
2405,high,yes,Non-Rural,1986,female,YES,26_39,I know something about it,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working,geographic information systems data manager gis data manager,Spain,ES
2406,low,no,countryside,53 years old,male,nO,40_65,I understand it fully,I would vote for it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It is impossible to finance,,Spain,ES
2407,high,yes,urban,45 years old,FeMale,NO,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",None of the above,data architect,Spain,ES
2408,high,yes,Country,40 years old,male,YES,40_65,I understand it fully,I would vote for it,‰Û_ gain additional skills,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering",It increases dependence on the state,database designer,Spain,ES
2409,high,yes,urban,1993,female,NO,14_25,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,"It increases appreciation for household work and volunteering | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs",It might encourage people to stop working | It is against the principle of linking merit and reward,database administration associate,Spain,ES
2410,high,yes,city,1992,female,NO,14_25,I have never heard of it,I would probably vote for it,‰Û_ gain additional skills,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state | It might encourage people to stop working,electronic data interchange system developer edi system developer,Spain,ES
2411,high,yes,city,50 years old,Male,YES,40_65,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,It might encourage people to stop working,automatic data processing customer liaison adp customer liaison,Spain,ES
2412,low,no,Non-Rural,46 years old,male,YES,40_65,I know something about it,I would vote for it,None of the above,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,,Spain,ES
2413,low,no,city,40 years old,male,NO,40_65,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,Spain,ES
2414,high,yes,urban,1987,male,YES,26_39,I know something about it,I would vote for it,‰Û_ work less,It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,head of information systems and data processing,Spain,ES
2415,medium,yes,city,1991,Male,NO,juvenile,I have heard just a little about it,I would probably vote for it,‰Û_ work as a freelancer,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,head of information systems and data processing,Spain,ES
2416,high,no,urban,35 years old,female,YES,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,,Spain,ES
2417,medium,no,rural,35 years old,female,yES,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,It is impossible to finance,,Spain,ES
2418,high,yes,urban,41 years old,male,YES,40_65,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,data systems manager,Spain,ES
2419,low,no,Non-Rural,50 years old,female,YES,40_65,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,,Spain,ES
2420,medium,yes,city,1986,male,YES,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,database administration manager,Spain,ES
2421,medium,no,Non-Rural,35 years old,female,YES,26_39,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility",It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,,Spain,ES
2422,medium,yes,urban,33 years old,FeMale,NO,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,database engineer,Spain,ES
2423,medium,no,Non-Rural,41 years old,male,YES,40_65,I understand it fully,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,It increases dependence on the state | It is impossible to finance | It might encourage people to stop working,,Spain,ES
2424,high,no,Country,39 years old,Fem,NO,26_39,I have heard just a little about it,I would probably vote for it,‰Û_ do more volunteering work,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses",It is impossible to finance | Only the people who need it most should get something from the state,,Spain,ES
2425,high,yes,urban,41 years old,female,yES,40_65,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,data transcriber,Spain,ES
2426,medium,yes,Non-Rural,56 years old,Male,nO,40_65,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,database architect,Spain,ES
2427,low,yes,urban,50 years old,female,yES,40_65,I understand it fully,I would vote for it,‰Û_ do more volunteering work,It creates more equality of opportunity,Only the people who need it most should get something from the state,data warehouse specialist,Spain,ES
2428,high,yes,city,46 years old,female,NO,40_65,I understand it fully,I would vote for it,‰Û_ do more volunteering work,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state,geographic information systems data administrator gis data administrator,Spain,ES
2429,medium,no,urban,49 years old,female,yES,40_65,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity",It is impossible to finance | Only the people who need it most should get something from the state,,Spain,ES
2430,medium,yes,Non-Rural,34 years old,female,NO,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,field artillery automated tactical data system specialist,Spain,ES
2431,medium,yes,urban,38 years old,male,YES,26_39,I know something about it,I would vote for it,‰Û_ gain additional skills,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,database software technician,Spain,ES
2432,low,no,city,43 years old,female,NO,40_65,I understand it fully,I would vote for it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs,It increases dependence on the state,,Spain,ES
2433,high,yes,rural,49 years old,male,nO,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,database tester,Spain,ES
2434,high,yes,city,60 years old,male,NO,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It increases dependence on the state | Only the people who need it most should get something from the state | It is impossible to finance,data coordinator,Spain,ES
2435,medium,no,urban,1997,Fem,nO,14_25,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is impossible to finance,,Spain,ES
2436,high,yes,rural,40 years old,male,YES,40_65,I know something about it,I would probably vote against it,‰Û_ stop working,None of the above,It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance,data processing clerk,Spain,ES
2437,high,yes,city,45 years old,FeMale,yES,40_65,I understand it fully,I would not vote,‰Û_ look for a different job,None of the above,Only the people who need it most should get something from the state,database coordinator,Spain,ES
2438,medium,no,urban,1997,male,nO,juvenile,I have never heard of it,I would vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It is impossible to finance | It might encourage people to stop working,,Spain,ES
2439,medium,yes,urban,1991,FeMale,NO,14_25,I understand it fully,I would probably vote against it,‰Û_ work less,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | It is impossible to finance,automatic data processing planner,Spain,ES
2440,high,yes,urban,40 years old,female,YES,40_65,I know something about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit,head of information systems and data processing,Spain,ES
2441,high,no,rural,32 years old,FeMale,yES,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,,Spain,ES
2442,medium,yes,urban,51 years old,Fem,NO,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | It increases dependence on the state,computer or data processing systems consultant,Spain,ES
2443,high,yes,urban,40 years old,male,NO,40_65,I understand it fully,I would vote against it,A basic income would not affect my work choices,None of the above,It increases dependence on the state | Only the people who need it most should get something from the state | It might encourage people to stop working,data scientist,Spain,ES
2444,high,no,rural,37 years old,male,YES,26_39,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working,,Spain,ES
2445,medium,yes,Non-Rural,36 years old,male,YES,26_39,I know something about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state,data processing systems project planner,Spain,ES
2446,medium,no,Non-Rural,40 years old,Fem,NO,40_65,I know something about it,I would vote for it,‰Û_ look for a different job,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,,Spain,ES
2447,medium,yes,urban,37 years old,female,YES,26_39,I have heard just a little about it,I would probably vote against it,None of the above,None of the above,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,data management information technology specialist,Spain,ES
2448,high,yes,Non-Rural,38 years old,Male,YES,26_39,I understand it fully,I would vote for it,‰Û_ work as a freelancer,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses",None of the above,database management system specialist dbms specialist,Spain,ES
2449,high,no,rural,37 years old,male,NO,26_39,I know something about it,I would probably vote for it,None of the above,It reduces anxiety about financing basic needs,It is impossible to finance,,Spain,ES
2450,medium,yes,urban,55 years old,Male,NO,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit,database security administrator,Spain,ES
2451,high,yes,urban,45 years old,female,yES,40_65,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity,Only the people who need it most should get something from the state,reference data expert,Spain,ES
2452,low,no,urban,1991,female,nO,juvenile,I know something about it,I would probably vote against it,‰Û_ stop working,It creates more equality of opportunity,It might encourage people to stop working,,Spain,ES
2453,high,no,Non-Rural,1998,Male,nO,juvenile,I have heard just a little about it,I would not vote,‰Û_ gain additional skills,None of the above,None of the above,,Spain,ES
2454,medium,no,rural,51 years old,female,yES,40_65,I have never heard of it,I would vote for it,‰Û_ work as a freelancer,"It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It is impossible to finance | It is against the principle of linking merit and reward,,Spain,ES
2455,high,yes,urban,35 years old,male,YES,26_39,I know something about it,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It increases dependence on the state,data communications software consultant,Spain,ES
2456,medium,no,urban,50 years old,female,YES,40_65,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,,Spain,ES
2457,low,yes,Country,48 years old,female,YES,40_65,I know something about it,I would vote for it,‰Û_ do more volunteering work,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state,data security analyst,Spain,ES
2458,high,yes,Non-Rural,44 years old,male,YES,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ do more volunteering work,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,automatic data processing planner adp planner,Spain,ES
2459,high,yes,urban,42 years old,male,YES,40_65,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,None of the above,database specialist,Spain,ES
2460,high,yes,urban,36 years old,male,nO,26_39,I understand it fully,I would vote against it,‰Û_ work less,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",It might encourage people to stop working | It increases dependence on the state | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit,flight data technician,Spain,ES
2461,high,yes,urban,1995,male,nO,14_25,I understand it fully,I would vote against it,A basic income would not affect my work choices,None of the above,It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It increases dependence on the state,scada operator supervisory control and data acquisition operator,Spain,ES
2462,high,no,urban,1993,male,NO,juvenile,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,,Spain,ES
2463,low,yes,city,40 years old,male,NO,40_65,I understand it fully,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity,It is against the principle of linking merit and reward,database development and administration project manager,Spain,ES
2464,medium,no,rural,50 years old,male,nO,40_65,I know something about it,I would probably vote against it,‰Û_ stop working,None of the above,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It increases dependence on the state | It is against the principle of linking merit and reward | It might encourage people to stop working,,Spain,ES
2465,low,no,urban,2001,female,nO,juvenile,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,It is impossible to finance,,Spain,ES
2466,high,no,city,1995,Fem,NO,14_25,I understand it fully,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,,Spain,ES
2467,medium,no,rural,43 years old,Male,YES,40_65,I know something about it,I would vote for it,‰Û_ spend more time with my family,"It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",None of the above,,Spain,ES
2468,medium,no,rural,52 years old,male,NO,40_65,I know something about it,I would vote for it,‰Û_ gain additional skills,"It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state | It is against the principle of linking merit and reward,,Spain,ES
2469,high,no,urban,35 years old,FeMale,nO,26_39,I know something about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,,Spain,ES
2470,medium,yes,urban,1991,female,nO,14_25,I understand it fully,I would vote for it,‰Û_ work as a freelancer,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance,data base design analyst,Spain,ES
2471,high,yes,urban,35 years old,female,NO,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,data scientist,Spain,ES
2472,no,no,Non-Rural,44 years old,male,nO,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It increases dependence on the state,,Spain,ES
2473,medium,yes,city,41 years old,male,yES,40_65,I have heard just a little about it,I would probably vote against it,‰Û_ work less,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It might encourage people to stop working,geographic information systems database administrator gis database administrator,Spain,ES
2474,,no,urban,41 years old,FeMale,yES,40_65,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It increases dependence on the state,,Spain,ES
2475,high,no,city,34 years old,male,nO,26_39,I know something about it,I would vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,,Spain,ES
2476,medium,no,Non-Rural,53 years old,Fem,yES,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state,,Spain,ES
2477,high,yes,Non-Rural,46 years old,male,YES,40_65,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,data processing manager,Spain,ES
2478,medium,no,rural,51 years old,female,YES,40_65,I understand it fully,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,,Spain,ES
2479,low,no,Non-Rural,42 years old,FeMale,NO,40_65,I know something about it,I would probably vote for it,None of the above,None of the above,None of the above,,Spain,ES
2480,medium,no,countryside,1990,female,nO,26_39,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,None of the above,It might encourage people to stop working,,Spain,ES
2481,low,no,urban,1998,female,NO,juvenile,I have heard just a little about it,I would probably vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It increases dependence on the state | Only the people who need it most should get something from the state,,Spain,ES
2482,low,no,Non-Rural,1987,female,yES,26_39,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It is impossible to finance,,Spain,ES
2483,high,yes,Non-Rural,42 years old,male,nO,40_65,I understand it fully,I would vote for it,‰Û_ work as a freelancer,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,naval tactical data systemcombat information center officer,Spain,ES
2484,high,no,urban,1993,Fem,NO,14_25,I understand it fully,I would probably vote for it,‰Û_ look for a different job,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,,Spain,ES
2485,medium,yes,urban,59 years old,female,nO,40_65,I have never heard of it,I would probably vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state | Only the people who need it most should get something from the state,data processing supervisor,Spain,ES
2486,low,no,countryside,45 years old,female,YES,40_65,I have never heard of it,I would vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working,,Spain,ES
2487,medium,yes,urban,40 years old,Male,YES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working,naval tactical data systemcombat information center officer,Spain,ES
2488,low,no,urban,59 years old,FeMale,yES,40_65,I know something about it,I would vote for it,‰Û_ look for a different job,It creates more equality of opportunity,Only the people who need it most should get something from the state,,Spain,ES
2489,medium,yes,city,41 years old,Fem,nO,40_65,I have heard just a little about it,I would vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit,director of data operations,Spain,ES
2490,high,no,urban,40 years old,male,YES,40_65,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,,Spain,ES
